ORIGIN_CITY,ORIGIN_CITY_ENCODED
"Fort Lauderdale, FL",118
"Minneapolis, MN",220
"Denver, CO",89
"Orlando, FL",254
"Dallas, TX",82
"Washington, DC",354
"Huntsville, AL",155
"Houston, TX",154
"Seattle, WA",318
"Atlanta, GA",19
"Raleigh/Durham, NC",282
"Chicago, IL",65
"Hartford, CT",144
"San Jose, CA",304
"Baltimore, MD",24
"Charlotte Amalie, VI",60
"Sarasota/Bradenton, FL",313
"New York, NY",239
"Grand Rapids, MI",130
"Dallas/Fort Worth, TX",83
"Charlotte, NC",61
"Las Vegas, NV",190
"Tulsa, OK",345
"Concord, NC",79
"Salt Lake City, UT",299
"Nashville, TN",235
"Austin, TX",22
"Indianapolis, IN",158
"Manchester, NH",208
"San Francisco, CA",303
"Prescott, AZ",275
"Boston, MA",41
"Los Angeles, CA",202
"Sacramento, CA",295
"Detroit, MI",91
"San Antonio, TX",301
"New Orleans, LA",238
"Columbus, OH",78
"St. Louis, MO",330
"San Juan, PR",305
"Phoenix, AZ",266
"Tampa, FL",339
"Philadelphia, PA",265
"Killeen, TX",178
"Wilmington, NC",367
"Joplin, MO",169
"Milwaukee, WI",219
"Billings, MT",34
"Bellingham, WA",30
"Charleston, SC",58
"Richmond, VA",287
"Greensboro/High Point, NC",133
"Kansas City, MO",174
"Newark, NJ",240
"El Paso, TX",102
"Louisville, KY",203
"White Plains, NY",361
"San Diego, CA",302
"Birmingham, AL",36
"Aspen, CO",18
"Honolulu, HI",153
"Midland/Odessa, TX",218
"Buffalo, NY",48
"Tucson, AZ",344
"Syracuse, NY",337
"Madison, WI",206
"Fresno, CA",123
"Fort Wayne, IN",122
"Lansing, MI",187
"Abilene, TX",1
"Wichita, KS",363
"Champaign/Urbana, IL",57
"Oakland, CA",248
"Eugene, OR",107
"Miami, FL",217
"Chattanooga, TN",63
"Burlington, VT",50
"Fort Myers, FL",120
"Portland, OR",273
"Santa Ana, CA",308
"Pittsburgh, PA",268
"Kahului, HI",171
"Harlingen/San Benito, TX",142
"Bismarck/Mandan, ND",38
"Sheridan, WY",319
"Boise, ID",40
"Reno, NV",285
"San Luis Obispo, CA",306
"Greer, SC",135
"Melbourne, FL",214
"Green Bay, WI",132
"Charleston/Dunbar, WV",59
"Long Beach, CA",200
"Oklahoma City, OK",251
"Providence, RI",276
"Yakutat, AK",371
"Cedar Rapids/Iowa City, IA",56
"Sioux Falls, SD",322
"Hays, KS",147
"Valparaiso, FL",349
"Rochester, NY",291
"Savannah, GA",315
"Cleveland, OH",69
"Redding, CA",284
"Anchorage, AK",13
"Devils Lake, ND",92
"Stillwater, OK",334
"Burbank, CA",49
